ppt,block,trial,lcol,rcol,sim,rt
11,1,41,4,3,6,5.739
11,1,42,5,2,4,2.678
11,1,43,6,3,7,3.274
11,1,44,7,6,8,1.317
11,1,45,4,5,5,1.522
11,1,46,3,5,8,1.213
11,1,47,8,5,9,1.666
11,1,48,5,4,4,1.867
11,1,49,6,1,6,2.257
11,1,50,8,4,4,1.116
11,1,51,5,7,9,1.272
11,1,52,2,4,8,1.896
11,1,53,7,5,8,2.337
11,1,54,3,4,8,1.043
11,1,55,2,7,4,1.303
11,1,56,6,8,9,2.413
11,2,1,6,3,6,3.925
11,2,2,2,7,4,2.072
11,2,3,3,7,7,2.101
11,2,4,8,5,8,1.257
11,2,5,8,7,8,1.38
11,2,6,2,5,3,1.571
11,2,7,5,8,8,1.224
11,2,8,1,8,5,2.988
11,2,9,7,4,5,1.837
11,2,10,7,6,7,2.925
11,2,11,7,2,4,1.354
11,2,12,3,5,8,1.867
11,2,13,7,1,7,2.566
11,2,14,7,3,7,1.262
11,2,15,3,1,8,1.136
11,2,16,6,2,4,2.243
11,2,17,1,4,4,5.109
11,2,18,2,3,6,1.729
11,2,19,1,6,7,1.693
11,2,20,8,6,8,1.338
11,2,21,4,1,7,2.616
11,2,22,7,5,8,1.1
11,2,23,8,2,4,1.304
11,2,24,5,6,8,2.131
11,2,25,2,4,8,1.588
11,2,26,4,2,8,0.977
11,2,27,1,5,6,2.539
11,2,28,8,1,6,0.849
11,2,29,5,2,4,2.462
11,2,30,6,1,6,1.976
11,2,31,3,6,6,1.24
11,2,32,8,4,4,1.554
11,2,33,4,8,4,0.915
11,2,34,7,8,8,1.506
11,2,35,1,2,4,1.538
11,2,36,5,1,6,2.223
11,2,37,2,8,4,3.554
11,2,38,3,4,7,1.942
11,2,39,3,8,7,1.288
11,2,40,8,3,7,0.931
11,2,41,6,5,8,1.415
11,2,42,4,7,3,1.34
11,2,43,2,1,6,1.32
11,2,44,5,7,8,1.382
11,2,45,1,3,9,3.772
11,2,46,4,6,7,3.834
11,2,47,4,3,8,1.633
11,2,48,5,3,8,1.724
11,2,49,4,5,5,1.978
11,2,50,6,7,6,1.944
11,2,51,1,7,7,1.414
11,2,52,6,4,6,1.464
11,2,53,2,6,4,2.07
11,2,54,5,4,4,1.34
11,2,55,6,8,8,2.961
11,2,56,3,2,6,3.16
12,1,1,7,5,4,10.511
12,1,2,6,2,1,5.859
12,1,3,4,7,1,6.748
12,1,4,4,2,6,4.071
12,1,5,6,1,1,6.408
12,1,6,8,5,5,10.883
12,1,7,5,6,4,4.77
12,1,8,5,2,1,4.097
12,1,9,1,3,8,5.252
12,1,10,8,2,1,10.073
12,1,11,3,7,6,6.765
12,1,12,2,4,7,2.958
12,1,13,4,5,5,3.883
12,1,14,2,5,1,4.252
12,1,15,2,6,1,4.552
12,1,16,7,3,5,3.975
12,1,17,4,1,7,3.8
12,1,18,5,8,7,3.18
12,1,19,1,4,6,5.19
12,1,20,3,8,2,6.018
12,1,21,6,4,2,3.005
12,1,22,6,3,4,2.711
12,1,23,7,1,5,2.946
12,1,24,8,6,6,3.268
12,1,25,6,8,8,2.397
12,1,26,7,4,2,3.194
12,1,27,2,3,6,2.554
12,1,28,8,4,1,3.695
12,1,29,1,2,5,3.723
12,1,30,4,3,7,3.959
12,1,31,1,6,6,2.119
12,1,32,2,7,1,1.867
12,1,33,7,8,3,3.115
12,1,34,2,1,4,2.505
12,1,35,4,8,1,5.158
12,1,36,4,6,2,4.599
12,1,37,5,1,6,1.963
12,1,38,3,1,9,1.729
12,1,39,7,2,1,2.915
12,1,40,8,1,6,3.836
12,1,41,3,5,8,1.603
12,1,42,6,7,8,2.433
12,1,43,5,3,7,3.098
12,1,44,1,5,7,1.401
12,1,45,6,5,5,2.942
12,1,46,3,4,9,3.242
12,1,47,3,6,5,2.178
12,1,48,1,7,8,1.726
12,1,49,5,4,3,3.346
12,1,50,5,7,9,1.881
12,1,51,8,7,5,2.164
12,1,52,3,2,6,1.772
12,1,53,1,8,4,2.381
12,1,54,2,8,3,2.241
12,1,55,8,3,5,3.021
12,1,56,7,6,6,1.586
12,2,1,8,1,4,2.998
12,2,2,5,8,7,1.465
12,2,3,5,1,8,2.584
12,2,4,5,2,2,1.911
12,2,5,4,6,6,2.973
12,2,6,5,4,7,2.43
12,2,7,8,4,2,2.523
12,2,8,1,5,8,1.96
12,2,9,3,1,9,1.866
12,2,10,1,8,1,2.319
12,2,11,6,1,3,1.933
12,2,12,4,3,8,2.053
12,2,13,1,3,9,1.118
12,2,14,1,7,7,1.634
12,2,15,4,7,5,2.148
12,2,16,2,4,9,1.648
12,2,17,2,1,9,1.167
12,2,18,7,5,9,1.022
12,2,19,6,4,7,1.853
12,2,20,7,3,6,1.617
12,2,21,3,7,6,0.992
12,2,22,6,5,5,2.085
12,2,23,1,4,7,1.65
12,2,24,8,6,4,2.599
12,2,25,7,6,5,2.055
12,2,26,4,5,5,2.787
12,2,27,5,3,7,1.572
12,2,28,2,3,8,1.555
12,2,29,4,2,8,0.95
12,2,30,2,8,1,2.273
12,2,31,8,7,5,1.167
12,2,32,1,2,6,2.4
12,2,33,8,3,2,3.569
12,2,34,3,6,2,1.04
12,2,35,2,5,1,1.542
12,2,36,4,1,6,1.509
12,2,37,3,8,3,3.322
12,2,38,4,8,3,1.165
12,2,39,5,7,9,1.571
12,2,40,1,6,4,3.27
12,2,41,3,2,6,1.665
12,2,42,3,4,9,1.462
12,2,43,8,5,5,1.743
12,2,44,7,1,7,1.555
12,2,45,7,4,6,1.448
12,2,46,6,7,5,4.908
12,2,47,2,7,1,1.993
12,2,48,3,5,8,2.65
12,2,49,6,8,6,2.819
12,2,50,2,6,3,2.21
12,2,51,7,8,5,1.759
12,2,52,5,6,5,0.806
12,2,53,7,2,1,1.913
12,2,54,8,2,1,0.961
12,2,55,6,3,2,2.318
12,2,56,6,2,2,5.721
13,1,1,8,1,2,5.174
13,1,2,3,1,7,8.558
13,1,3,4,1,4,3.112
13,1,4,3,8,4,2.788
13,1,5,4,6,5,2.27
13,1,6,3,2,4,2.94
13,1,7,6,3,4,1.414
13,1,8,2,5,5,2.646
13,1,9,6,4,5,0.993
13,1,10,1,6,4,1.493
13,1,11,8,5,6,2.46
13,1,12,1,7,3,1.68
13,1,13,3,5,3,1.258
13,1,14,5,3,3,0.914
13,1,15,7,1,2,2.289
13,1,16,3,4,8,1.96
13,1,17,6,5,8,1.274
13,1,18,6,1,3,1.278
13,1,19,1,5,5,1.759
13,1,20,2,8,2,1.883
13,1,21,5,7,7,1.76
13,1,22,5,4,7,1.134
13,1,23,1,4,4,2.322
13,1,24,5,8,6,1.073
13,1,25,8,6,6,0.762
13,1,26,7,5,8,1.586
13,1,27,2,4,7,2.321
13,1,28,3,7,3,1.882
13,1,29,7,8,7,1.338
13,1,30,1,3,2,1.79
13,1,31,5,1,3,2.037
13,1,32,8,7,2,2.009
13,1,33,4,3,6,3.162
13,1,34,2,3,4,1.354
13,1,35,4,7,3,1.04
13,1,36,1,2,4,3.397
13,1,37,5,6,4,1.179
13,1,38,7,2,3,1.759
13,1,39,4,8,3,2.006
13,1,40,8,3,3,0.68
13,1,41,1,8,2,1.571
13,1,42,8,2,1,1.681
13,1,43,3,6,4,1.229
13,1,44,7,3,4,2.195
13,1,45,6,7,7,1.82
13,1,46,5,2,5,2.76
13,1,47,2,6,3,2.18
13,1,48,7,6,7,1.524
13,1,49,4,2,8,1.371
13,1,50,4,5,5,1.803
13,1,51,8,4,3,1.26
13,1,52,2,1,3,1.46
13,1,53,7,4,4,1.647
13,1,54,6,2,2,1.647
13,1,55,2,7,1,2.413
13,1,56,6,8,7,2.381
13,2,1,1,6,2,7.506
13,2,2,4,5,8,1.838
13,2,3,8,5,8,1.226
13,2,4,3,7,5,1.945
13,2,5,8,1,4,3.226
13,2,6,5,7,9,1.757
13,2,7,4,7,2,2.226
13,2,8,1,2,3,1.37
13,2,9,7,1,2,1.292
13,2,10,1,3,9,2.661
13,2,11,6,2,4,1.896
13,2,12,2,8,3,1.225
13,2,13,3,5,7,1.242
13,2,14,5,8,6,1.275
13,2,15,2,1,4,1.183
13,2,16,8,4,2,1.446
13,2,17,3,1,9,1.181
13,2,18,2,3,6,1.384
13,2,19,1,5,2,2.037
13,2,20,6,3,4,1.664
13,2,21,2,6,3,2.803
13,2,22,5,1,4,1.54
13,2,23,7,2,1,1.226
13,2,24,3,2,6,2.085
13,2,25,6,4,5,1.761
13,2,26,2,7,3,1.569
13,2,27,4,2,9,1.508
13,2,28,6,5,8,1.728
13,2,29,5,4,9,1.15
13,2,30,8,7,7,1.259
13,2,31,2,5,4,2.366
13,2,32,7,8,3,2.615
13,2,33,8,3,2,1.821
13,2,34,1,4,8,1.992
13,2,35,8,2,3,1.324
13,2,36,3,4,8,1.929
13,2,37,7,6,4,2.647
13,2,38,3,8,1,1.106
13,2,39,8,6,6,1.135
13,2,40,4,8,3,1.135
13,2,41,6,8,7,2.819
13,2,42,6,1,2,1.353
13,2,43,7,3,7,1.931
13,2,44,1,8,2,1.37
13,2,45,7,4,4,2.256
13,2,46,3,6,2,2.071
13,2,47,5,6,7,1.916
13,2,48,1,7,2,1.368
13,2,49,2,4,9,1.259
13,2,50,5,2,7,3.49
13,2,51,4,1,6,1.555
13,2,52,4,6,3,1.526
13,2,53,4,3,7,3.507
13,2,54,6,7,5,1.496
13,2,55,7,5,9,1.403
13,2,56,5,3,8,2.07
14,1,1,3,5,6,4.185
14,1,2,1,3,3,13.616
14,1,3,5,1,3,2.837
14,1,4,1,5,2,1.743
14,1,5,4,8,5,1.956
14,1,6,5,4,5,1.913
14,1,7,6,1,5,1.735
14,1,8,4,2,7,2.536
14,1,9,2,5,4,1.54
14,1,10,2,8,5,1.682
14,1,11,8,4,5,1.059
14,1,12,6,8,8,1.554
14,1,13,3,7,4,1.552
14,1,14,5,8,6,1.649
14,1,15,7,8,6,1.275
14,1,16,8,1,3,1.599
14,1,17,4,1,5,1.446
14,1,18,6,7,6,1.432
14,1,19,4,5,4,1.401
14,1,20,7,4,5,1.167
14,1,21,7,6,6,1.292
14,1,22,6,5,6,1.084
14,1,23,1,4,6,1.105
14,1,24,2,6,4,0.992
14,1,25,8,7,7,1.106
14,1,26,2,4,7,0.837
14,1,27,2,7,3,1.615
14,1,28,6,3,3,1.837
14,1,29,2,3,4,1.433
14,1,30,1,2,4,0.962
14,1,31,1,7,4,0.715
14,1,32,3,2,4,0.56
14,1,33,2,1,4,1.011
14,1,34,3,6,4,0.742
14,1,35,1,6,4,1.022
14,1,36,5,6,8,1.372
14,1,37,4,3,6,0.945
14,1,38,6,4,4,1.121
14,1,39,4,6,4,1.32
14,1,40,3,8,4,0.757
14,1,41,3,4,4,0.788
14,1,42,6,2,3,1.245
14,1,43,5,7,3,1.084
14,1,44,1,8,4,2.211
14,1,45,5,3,4,1.352
14,1,46,3,1,7,1.398
14,1,47,7,5,7,1.231
14,1,48,7,1,3,1.069
14,1,49,8,2,3,1.181
14,1,50,8,5,3,1.04
14,1,51,8,3,3,0.741
14,1,52,7,3,3,1.055
14,1,53,7,2,3,1.589
14,1,54,4,7,3,0.617
14,1,55,5,2,3,0.823
14,1,56,8,6,7,1.616
14,2,1,5,8,7,1.436
14,2,2,4,8,7,1.256
14,2,3,6,3,6,1.054
14,2,4,4,1,7,1.039
14,2,5,6,4,6,1.272
14,2,6,3,1,8,1.106
14,2,7,2,8,7,0.807
14,2,8,5,3,5,2.118
14,2,9,3,5,4,1.167
14,2,10,8,4,3,1.46
14,2,11,2,1,3,1.631
14,2,12,6,8,8,1.355
14,2,13,2,4,7,1.601
14,2,14,1,7,3,1.181
14,2,15,5,4,3,1.041
14,2,16,1,5,5,0.966
14,2,17,6,5,8,1.07
14,2,18,4,7,4,1.289
14,2,19,1,4,4,0.914
14,2,20,5,6,6,1.74
14,2,21,6,2,4,1.213
14,2,22,2,7,2,1.276
14,2,23,4,2,7,1.15
14,2,24,8,6,8,1.349
14,2,25,1,3,8,0.761
14,2,26,8,1,3,1.261
14,2,27,5,2,3,0.7
14,2,28,8,5,3,0.51
14,2,29,3,6,3,0.558
14,2,30,2,5,4,0.951
14,2,31,1,2,3,0.837
14,2,32,7,8,5,1.589
14,2,33,2,3,4,1.387
14,2,34,3,4,6,1.086
14,2,35,7,6,6,1.24
14,2,36,1,6,3,1.12
14,2,37,6,1,4,0.76
14,2,38,3,2,4,0.773
14,2,39,3,7,3,0.747
14,2,40,2,6,3,2.02
14,2,41,1,8,5,1.397
14,2,42,3,8,4,0.728
14,2,43,5,1,3,0.758
14,2,44,7,4,3,0.605
14,2,45,4,5,3,0.559
14,2,46,4,3,6,1.418
14,2,47,8,7,4,0.87
14,2,48,7,3,4,0.741
14,2,49,7,1,3,0.663
14,2,50,8,2,2,1.195
14,2,51,7,5,4,1.49
14,2,52,4,6,5,1.07
14,2,53,7,2,3,0.914
14,2,54,8,3,2,0.757
14,2,55,6,7,7,1.679
14,2,56,5,7,8,1.307
15,1,1,5,2,2,9.288
15,1,2,1,4,3,2.519
15,1,3,3,5,3,3.596
15,1,4,1,6,2,3.179
15,1,5,6,8,6,2.835
15,1,6,8,6,6,1.584
15,1,7,5,7,7,3.61
15,1,8,7,6,6,1.915
15,1,9,2,4,7,4.476
15,1,10,3,6,5,3.444
15,1,11,4,8,4,1.666
15,1,12,5,8,4,1.777
15,1,13,4,6,5,1.461
15,1,14,4,7,3,1.974
15,1,15,1,3,7,2.396
15,1,16,1,8,2,4.506
15,1,17,5,3,3,2.526
15,1,18,5,1,3,1.771
15,1,19,3,4,6,2.104
15,1,20,3,8,3,2.177
15,1,21,7,8,6,2.271
15,1,22,7,1,4,2.539
15,1,23,8,1,1,3.533
15,1,24,4,5,5,2.087
15,1,25,8,4,3,1.851
15,1,26,1,7,2,2.665
15,1,27,7,5,8,3.943
15,1,28,6,7,4,2.916
15,1,29,2,6,4,1.32
15,1,30,8,5,3,1.29
15,1,31,1,2,5,1.491
15,1,32,2,8,3,1.43
15,1,33,7,4,4,1.665
15,1,34,4,3,7,1.699
15,1,35,5,6,8,1.787
15,1,36,6,3,3,2.571
15,1,37,2,3,4,1.568
15,1,38,1,5,4,1.788
15,1,39,4,1,4,1.681
15,1,40,5,4,3,2.634
15,1,41,2,1,3,1.817
15,1,42,6,2,1,2.912
15,1,43,4,2,8,2.916
15,1,44,7,2,4,2.676
15,1,45,8,7,5,1.757
15,1,46,2,5,3,2.381
15,1,47,6,5,6,1.398
15,1,48,7,3,5,1.822
15,1,49,6,4,4,1.226
15,1,50,3,7,3,2.115
15,1,51,8,3,2,1.946
15,1,52,8,2,2,1.917
15,1,53,3,2,5,1.661
15,1,54,2,7,3,1.195
15,1,55,6,1,1,1.398
15,1,56,3,1,7,1.464
15,2,1,4,6,4,12.568
15,2,2,1,6,3,5.081
15,2,3,2,5,2,3.007
15,2,4,3,1,6,1.558
15,2,5,5,8,1,3.894
15,2,6,5,4,3,1.664
15,2,7,3,4,8,1.475
15,2,8,1,2,7,1.821
15,2,9,1,8,3,1.492
15,2,10,4,2,6,1.572
15,2,11,3,5,7,3.817
15,2,12,3,7,5,1.349
15,2,13,6,1,2,1.337
15,2,14,7,8,6,1.491
15,2,15,8,6,7,1.63
15,2,16,5,3,6,1.588
15,2,17,6,4,3,1.741
15,2,18,1,3,8,1.448
15,2,19,8,4,4,1.117
15,2,20,2,6,4,1.882
15,2,21,4,3,5,1.49
15,2,22,2,7,3,1.163
15,2,23,6,7,4,3.93
15,2,24,5,6,6,2.27
15,2,25,5,7,8,4.829
15,2,26,8,3,2,2.239
15,2,27,2,1,5,2.804
15,2,28,4,7,4,1.306
15,2,29,3,2,5,1.651
15,2,30,4,5,4,1.119
15,2,31,4,8,3,1.074
15,2,32,6,2,2,1.209
15,2,33,5,1,2,1.23
15,2,34,7,2,3,1.184
15,2,35,5,2,3,1.103
15,2,36,1,5,3,1.449
15,2,37,7,4,3,1.137
15,2,38,2,8,2,1.57
15,2,39,8,7,4,2.49
15,2,40,6,3,5,1.322
15,2,41,1,4,4,2.383
15,2,42,8,2,3,1.104
15,2,43,4,1,2,1.089
15,2,44,3,8,1,5.209
15,2,45,7,6,5,2.145
15,2,46,7,1,4,1.163
15,2,47,2,4,7,1.73
15,2,48,8,1,4,1.369
15,2,49,6,5,7,1.417
15,2,50,2,3,6,1.336
15,2,51,1,7,4,1.289
15,2,52,3,6,3,1.147
15,2,53,8,5,4,2.573
15,2,54,7,5,8,1.791
15,2,55,7,3,7,1.038
