cond,subj,blk,trial,triad,resp,rt,left1,mid2,right3
1,23,9,5,33,1,278,2,1,4
1,23,9,6,5,1,471,7,1,3
1,23,9,7,10,3,325,5,7,1
1,23,9,8,37,2,677,5,7,8
1,23,10,1,46,1,675,7,8,6
1,23,10,2,34,1,649,2,4,1
1,23,10,3,39,3,474,7,5,8
1,23,10,4,13,1,618,2,4,8
1,23,10,5,3,1,364,3,1,7
1,23,10,6,27,1,438,2,1,3
1,23,10,7,8,3,495,1,7,5
1,23,10,8,22,3,426,6,8,2
1,23,11,1,43,1,633,6,7,8
1,23,11,2,12,1,674,7,5,1
1,23,11,3,38,2,505,5,8,7
1,23,11,4,17,2,478,8,2,4
1,23,11,5,4,2,562,3,7,1
1,23,11,6,28,2,395,2,3,1
1,23,11,7,35,3,420,4,1,2
1,23,11,8,24,3,757,8,6,2
1,23,12,1,25,2,571,1,2,3
1,23,12,2,44,3,596,6,8,7
1,23,12,3,32,3,718,1,4,2
1,23,12,4,15,2,462,4,2,8
1,23,12,5,2,2,524,1,7,3
1,23,12,6,9,2,532,5,1,7
1,23,12,7,41,2,644,8,5,7
1,23,12,8,21,3,801,6,2,8
1,24,1,1,4,2,1730,3,7,1
1,24,1,2,26,3,970,1,3,2
1,24,1,3,45,1,1093,7,6,8
1,24,1,4,35,2,2357,4,1,2
1,24,1,5,23,2,790,8,2,6
1,24,1,6,17,1,802,8,2,4
1,24,1,7,37,3,1752,5,7,8
1,24,1,8,12,3,710,7,5,1
1,24,2,1,39,3,900,7,5,8
1,24,2,2,16,2,805,4,8,2
1,24,2,3,8,1,755,1,7,5
1,24,2,4,31,1,880,1,2,4
1,24,2,5,47,3,863,8,6,7
1,24,2,6,20,1,614,2,8,6
1,24,2,7,30,2,1605,3,2,1
1,24,2,8,3,3,748,3,1,7
1,24,3,1,13,3,725,2,4,8
1,24,3,2,32,1,2993,1,4,2
1,24,3,3,7,1,856,1,5,7
1,24,3,4,38,1,1317,5,8,7
1,24,3,5,29,3,747,3,1,2
1,24,3,6,44,3,716,6,8,7
1,24,3,7,5,1,782,7,1,3
1,24,3,8,19,1,873,2,6,8
1,24,4,1,28,1,1420,2,3,1
1,24,4,2,10,3,612,5,7,1
1,24,4,3,2,2,983,1,7,3
1,24,4,4,40,2,860,7,8,5
1,24,4,5,21,2,582,6,2,8
1,24,4,6,36,3,640,4,2,1
1,24,4,7,48,2,1178,8,7,6
1,24,4,8,14,2,634,2,8,4
1,24,5,1,27,1,696,2,1,3
1,24,5,2,9,2,726,5,1,7
1,24,5,3,22,3,687,6,8,2
1,24,5,4,33,2,606,2,1,4
1,24,5,5,1,3,734,1,3,7
1,24,5,6,42,1,1211,8,7,5
1,24,5,7,18,1,666,8,4,2
1,24,5,8,43,2,857,6,7,8
1,24,6,1,34,3,996,2,4,1
1,24,6,2,6,1,933,7,3,1
1,24,6,3,46,1,617,7,8,6
1,24,6,4,41,1,910,8,5,7
1,24,6,5,24,3,596,8,6,2
1,24,6,6,25,2,898,1,2,3
1,24,6,7,11,2,572,7,1,5
1,24,6,8,15,3,1636,4,2,8
1,24,7,1,9,2,496,5,1,7
1,24,7,2,47,3,541,8,6,7
1,24,7,3,14,2,742,2,8,4
1,24,7,4,36,3,837,4,2,1
1,24,7,5,1,3,681,1,3,7
1,24,7,6,39,2,715,7,5,8
1,24,7,7,30,2,788,3,2,1
1,24,7,8,19,1,780,2,6,8
1,24,8,1,18,1,1140,8,4,2
1,24,8,2,34,2,968,2,4,1
1,24,8,3,45,1,652,7,6,8
1,24,8,4,10,3,713,5,7,1
1,24,8,5,25,2,652,1,2,3
1,24,8,6,40,2,1641,7,8,5
1,24,8,7,24,3,744,8,6,2
1,24,8,8,5,1,699,7,1,3
1,24,9,1,35,2,584,4,1,2
1,24,9,2,13,3,784,2,4,8
1,24,9,3,2,2,632,1,7,3
1,24,9,4,38,2,711,5,8,7
1,24,9,5,20,1,731,2,8,6
1,24,9,6,48,3,1477,8,7,6
1,24,9,7,26,3,1003,1,3,2
1,24,9,8,8,1,625,1,7,5
1,24,10,1,16,2,610,4,8,2
1,24,10,2,23,2,1159,8,2,6
1,24,10,3,11,2,513,7,1,5
1,24,10,4,4,2,1179,3,7,1
1,24,10,5,41,1,950,8,5,7
1,24,10,6,28,1,975,2,3,1
1,24,10,7,33,1,1303,2,1,4
1,24,10,8,43,3,1877,6,7,8
1,24,11,1,17,1,748,8,2,4
1,24,11,2,7,1,628,1,5,7
1,24,11,3,37,3,882,5,7,8
1,24,11,4,46,1,1030,7,8,6
